Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
RIIL,RELIANCE IND INFRA,14250625360,1131.65,19.99893961,17.5557056,8346783,9445636981.95,968.4663716,912.09894408,851.89669797,753.42704089,651880000,Industrial Services,42502000,,
EQUIPPP,EQUIPPP SOC IMP TECH LTD,7278523088,85.1,19.94362227,34.97224425,354470,30165397,68.3566753,67.90726248,73.12340365,,2093698,Technology Services,-12866000,,
JAICORPLTD,JAI CORP LTD,22761221751,152.35,19.39655172,17.69022789,24535596,3737998050.6,132.00594747,126.64322096,122.10493958,121.97530642,4715081000,Process Industries,627900000,31.369,
MANAKSTEEL,MANAKSIA STEELS LTD,3017842952,54.6,18.43817787,21.60356347,2326699,127037765.4,47.43137057,46.44942904,44.35716305,37.22993992,5041885000,Non-Energy Minerals,456233000,4.88463,2184590000
ALOKINDS,ALOK INDUSTRIES LTD,118420993129,27.75,16.35220126,13.03462322,82064052,2277277443,25.66548479,25.88427179,26.03193289,25.13275693,73095000000,Process Industries,5650000000,,
KPITTECH,KPIT TECHNOLOGIES,142431407335,586.55,12.49520522,7.69301386,10367144,6080848313.2,556.28444817,567.07834707,575.69313281,474.92582702,20357410000,Technology Services,4102460000,13.4163,
OMAXE,OMAXE LTD,16900010472.000002,103.4,11.60280626,13.62637363,5267165,544624861,94.7245808,92.92631032,90.77309114,85.35978106,4757000000,Finance,-492500000,,
JINDALPHOT,JINDAL PHOTO LTD,2126038173,227.6,9.97825562,-3.43657191,97481,22186675.6,232.30748484,245.78062987,270.81829881,233.76108116,1671000,Consumer Durables,-3900000,,
ROML,RAJ OIL MILLS LTD,1240313576,91.2,9.94575045,35.11111111,399703,36452913.6,76.13640508,73.52389933,72.56848712,75.81354705,1034996799.9999998,Process Industries,35190000,28.1556,
SUMEETINDS,SUMEET INDUSTRIES,1100682142,11.7,9.85915493,15.27093596,3135087,36680517.9,10.22226983,9.75991749,9.66263918,8.77896863,5738664000,Process Industries,551341000,25.1516,
IIFL,IIFL FINANCE LTD,134207124366,388.25,9.83026874,7.96718576,4346636,1687581427,360.12536971,343.26056643,323.09171208,295.70600945,58401970000,Miscellaneous,15546597000,9.4172,386048000000
DOLATALGO,DOLAT ALGOTECH LTD,16896000000,105.15,9.41727367,25.85278276,5548488,583423513.2,90.60868236,88.28066769,85.9068804,84.16063955,2839647125.47,Finance,2502576000,6.24443,
BIRLATYRE,BIRLA TYRES LTD,2138850000,18,9.09090909,-8.62944162,5451704,98130672,18.78833961,20.07826011,21.62419735,23.78695689,54164000,Consumer Durables,-314212000,,
NAVKARCORP,NAVKAR CORPORATION,9798798408,71.05,8.80551302,52.14132762,13736889,976005963.45,54.75850721,47.71113506,42.07129992,40.6682116,6723648000,Transportation,1832612000,7.41343,
MAHLOG,MAHINDRA LOGISTICS,34165861338.000004,517.15,8.73633305,5.22942314,2529909,1308342439.35,494.99589867,492.00715163,500.40403613,569.34481508,32637200000,Transportation,1888600000,30.6506,
INDORAMA,INDO RAMA SYNTHETC,20118769712,83.8,8.61957226,10.48121292,2128657,178381456.6,77.43339334,75.36962726,72.43857664,61.52839236,20411400000,Process Industries,2748800000,17.5212,
BFUTILITIE,BF UTILITIES LTD,14076393508,406.15,8.59625668,7.50397035,1615670,656204370.5,380.92724056,369.61629745,362.13253234,373.90033491,3704580000,Utilities,3131253000,11.1423,
