Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
AKI,AKI INDIA LTD,1393490000,93.650002,-9.95192115,-18.88263144,150946,14136093.201892,106.70424257,107.72697966,,,,Process Industries,,,
BLISSGVS,BLISS GVS PHARMA,8723828014,75.949997,-9.36754859,-1.17111389,790126,60010067.329622,78.04773032,77.09133695,76.10003157,77.18952992,7379285000,Health Technology,1312479000,6.56572182,
PDSL,PDS LTD,47585681111,335.79999,-8.7251973,-7.23757182,320068,107478831.19931997,360.2559124,357.36170918,349.08474361,335.46945578,88282138000,Consumer Non-Durables,4269705000,11.60169546,
WELINV,WELSPUN INVESTMENT,1254400000,313.64999,-8.43672481,3.600327,11170,3503470.3883,307.76786257,298.00103399,286.75344459,285.87066428,42151000,Finance,39604000,31.66508433,
DICIND,DIC INDIA,3898311649,391.25,-8.31868776,-7.29771134,20427,7992063.75,420.28116651,416.06326014,403.59216094,392.30560001,8719901000,Process Industries,204608000,19.05258665,
GANGESSECU,GANGES SECURITIES,1166930000,109.95,-7.25432307,-2.09260908,23268,2558316.6,113.08129136,109.89154921,107.38398413,109.027469,,Finance,,,
RANEHOLDIN,RANE HOLDINGS LTD,13839479304,899.25,-7.097475,-8.51983723,264885,238197836.25,938.12376536,927.62938377,910.63378455,852.62386659,26667000000,Producer Manufacturing,2586000000,9.27729285,
INFOBEAN,INFOBEANS TECHNO. LTD.,11818622480,453.60001,-6.92520761,-7.82361293,182700,82872721.82699999,483.48196248,482.41743194,486.67020866,526.63372822,2714100000,Technology Services,862300000,13.22720918,
ATAM,ATAM VALVES LTD,2695541518,240,-6.52385589,0,230608,55345920,,,,,203088000,Producer Manufacturing,,,1767860000
BAJAJHCARE,BAJAJ HEALTHCARE LTD,9108851621,309.25,-6.38716796,-1.98098257,91980,28444815,318.80109346,318.78680569,328.80529205,358.35158248,6798898000,Health Technology,1129931000,10.86267181,
ORIENTHOT,ORIENTAL HOTELS,17261611225,90.5,-6.363168,-4.38457677,1347387,121938523.5,92.56473375,89.96870941,84.63198966,74.82715226,3945100000,Consumer Services,1123100000,15.36961199,
JSL,JINDAL STAINLESS,243530774170,277.95001,-6.12968571,-5.23354263,1884409,523771500.39409006,286.44066815,283.74514277,277.96679164,225.94892184,211311100000,Non-Energy Minerals,22733000000,12.12928668,
IITL,INDUSTRIAL INV TRU,2254980544,94.300003,-5.699997,13.82016328,39192,3695805.717576,89.10471778,87.32581475,87.47954984,86.51705237,88727300,Finance,115613000,,
SHEMAROO,SHEMAROO ENTERTAIN,3877546303,134.89999,-5.69731562,10.30252657,497374,67095747.62626,126.52135699,122.43055464,121.58077029,130.16031138,5566077000,Consumer Services,472724000,14.68409749,
GREAVESCOT,GREAVES COTTON LTD,37480742583,152.8,-5.59160299,12.4356227,9338752,1426961305.6000001,145.81382994,140.37531953,135.89333921,142.70975614,17094200000,Producer Manufacturing,1250800000,23.11867811,
GTLINFRA,GTL INFRASTRUCTURE,11277281079,0.85,-5.55555556,6.25,84502366,71827011.1,0.82559616,0.81085935,0.83232922,1.0849608,14627300000,Industrial Services,730700000,72.51290691,
BALRAMCHIN,BALRAMPUR CHINI MI,83340137748,386.60001,-5.38423873,-7.77671737,4142024,1601306519.82024,408.90647668,409.33987983,399.74440005,382.73135527,47732648000,Process Industries,4391866000,19.67181666,
LEXUS,LEXUS GRANITO (INDIA) LTD,1371180000,67.849998,-5.03848727,-6.41379586,30351,2059315.289298,71.5401417,72.12587228,,,,Producer Manufacturing,,,
MICEL,MIC ELECTRONICS LTD,4200837109,17.950001,-5.02644974,1.98864205,298199,5352672.348199,17.24788618,15.65891431,13.95326163,13.29894669,449471000,Health Technology,-11900000,,
IL_FSENGG,IL&FS ENGINEERING,1570830460,11.35,-5.0209205,-7.72357724,69038,783581.3,12.02077972,12.29187494,12.65879724,13.16893673,3076400000,Industrial Services,-1722500000,,
UGARSUGAR,UGAR SUGAR WORKS,12554999828,105.95,-5.02017033,-5.31724754,1065020,112838869,109.10515396,106.92260087,102.02007178,86.21672714,17941757000,Process Industries,2083942000,6.02463976,
AXITA,AXITA COTTON LTD,6079600000,29.4,-5.00808061,-22.52964631,467820,13753908,40.98196723,49.49290797,54.96992239,44.25751598,5526028000,Process Industries,192366000,31.60433756,
ASCOM,ASCOM L & I LTD,4217104797,342,-5,-3.66197183,500,171000,347.50679167,332.76387762,274.18194991,113.4388548,124463000,Finance,,,
KAMDHENU,KAMDHENU LTD,9695433263,343.20001,-4.99653702,0.24828391,374563,128550025.34563,345.52085678,344.41535474,341.249915,276.28004296,8407563000,Non-Energy Minerals,630096000,15.58878848,
FOCUS,FOCUS LIGHTG,7181670000,521.15002,-4.99498141,-17.0605496,111089,57894034.57178,601.00999421,614.17105283,561.05778031,364.11576532,1685838000,Producer Manufacturing,335834000,21.38458286,6629170000
DCI,DC INFOTECH AND COMUN LTD,1968000000,154.25,-4.98922667,4.15259256,2482,382848.5,153.90982868,145.21240841,132.66763628,,3596251000,Electronic Technology,127206000,15.47096835,
RVNL,RAIL VIKAS NIGAM,264276287476.00003,120.4,-4.97237569,-6.30350195,21812742,2626254136.8,121.15918689,109.80849507,91.23224504,65.69222921,193817100000,Industrial Services,12807900000,23.51869451,
KRITIKA,KRITIKA WIRES LTD,1433470000,15.35,-4.95356037,33.47826087,1479932,22716956.2,13.80806757,12.81846514,11.66689855,13.28899443,2437180000,Producer Manufacturing,96547000,18.37454297,
WSI,WS INDUSTRIES(IND),2818322437,73,-4.94792038,-18.66295265,107885,7875605,76.69506263,68.68293904,49.82952173,23.50350993,0,Producer Manufacturing,17890000,174.05228826,
GOYALALUM,GOYAL ALUMINIUMS LTD,4080740000,27.200001,-4.8951014,-22.39657125,15007,408190.415007,57.55171298,121.36583186,198.53033815,,659901000,Distribution Services,,,
