Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
VIKASLIFE,VIKAS LIFECARE LTD,7012236328,4.85,-7.61904762,-10.18518519,47857590,232109311.49999997,5.27606274,5.15780278,4.53557039,3.99567747,4760480000,Distribution Services,131138000,53.4721921,
VAISHALI,VAISHALI PHARMA LTD,1482410182,129.6,-7.36239509,6.62278898,116936,15154905.6,125.63658631,125.33617784,127.23032462,127.75701718,694017000,Health Technology,92397000,16.04392114,
IBULHSGFIN,INDIABULLS HOUSING,82479312500,169.95,-7.15651461,-8.25910931,27719015,4710846599.25,183.54124738,183.67297215,171.02271505,142.09230766,88366100000,Finance,22500200000,3.66571464,
TARMAT,TARMAT LTD,1873523071,86.1,-6.86857459,13.28947368,961010,82742961,81.44288694,77.52206649,72.28490061,67.55213216,1436641000,Industrial Services,12252000,152.91569303,
FCONSUMER,FUTURE CONSUMER LTD,1557687012,0.75,-6.25,-6.25,2618911,1964183.25,0.79180985,0.79817787,0.81409968,1.18038376,3811508000,Finance,-463680000,,
METROBRAND,METRO BRANDS LTD,330837406250,1192.5,-5.76102418,8.65108651,737114,879008445,1137.08494532,1109.87582263,1074.20184865,946.39476718,21270955000,Retail Trade,6824700000,48.47647607,
MVGJL,MANOJ VAIBHAV GEM N JEW L,8427600000,203.4,-5.61484919,-5.39534884,688794,140100699.6,,,,,,Retail Trade,,,
NURECA,NURECA LTD,3783566406,374.25,-5.52820663,9.60608846,270109,101088293.25,355.89916863,350.34737812,345.9257582,438.09308536,1113230000,Health Technology,-121830000,,
JPASSOCIAT,JAIPRAKASH ASSOCIA,28227851562,11.35,-5.41666667,-8.09716599,24250220,275239997,11.91635467,11.77269524,10.67344045,9.16078858,45147900000,Producer Manufacturing,5019900000,5.62319002,
MTNL,MAHANAGAR TELEP NI,18937798828,29.8,-5.3968254,-7.73993522,10099618,300968616.40000004,30.15241037,28.40232582,25.21082687,22.33506624,9352300000,Communications,-5205600000,,
