Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
ADANITRANS,ADANI TRANSMISS.IN,2.168E+12,2060.15,4.62393987,6.60267522,170462,351177289.3,1979.562258,1973.816166,1928.458323,98739300000,Utilities,40882900000,32.5342,,23-Feb-22
ATGL,ADANI TOTAL GAS LTD,1.73556E+12,1641.8,3.42047244,-2.64180034,104403,171408845.4,1682.405215,1726.914308,1734.077796,16956000000,Utilities,8465300000,149.17,,23-Feb-22
GLAND,GLAND PHARMA LTD,5.33359E+11,3356.1,3.3886818,-1.65995165,190241,638467820.1,3358.810388,3426.77951,3539.379903,34236370000,Health Technology,14894660000,28.3522,,23-Feb-22
UNIONBANK,UNION BK OF INDIA,2.79541E+11,42.55,4.03422983,-3.9503386,8400504,357441445.2,43.59327864,44.51040243,44.93716403,8.319E+11,Finance,,,-34976600000,23-Feb-22
TRIDENT,TRIDENT LTD,2.59639E+11,52.75,3.53287537,-7.94066318,5011127,264336949.3,54.68224752,56.46074034,55.4665678,43066300000,Process Industries,14183200000,14.7897,,23-Feb-22
CGPOWER,CG POWER AND INDUS,2.29002E+11,174.75,3.24963072,4.76618705,1822562,318492709.5,172.5180636,174.5019793,173.8122593,29639500000,Producer Manufacturing,320000000,,,23-Feb-22
PRESTIGE,PRESTIGE ESTATES P,1.7199E+11,450.25,4.85561248,1.60216631,1192777,537047844.3,448.0132831,457.3820552,464.0293005,74332000000,Consumer Durables,19076000000,7.01992,,23-Feb-22
CHAMBLFERT,CHAMBAL FERTILISER,1.52924E+11,380.3,3.68047983,-2.29929351,1337988,508836836.4,384.5565299,396.2943601,402.6361346,54391700000,Process Industries,22347700000,,,23-Feb-22
VTL,VARDHMAN TEXTILES,1.42474E+11,2586.65,4.78418505,-0.99515817,108890,281660318.5,2540.055678,2523.557553,2432.702664,60805300000,Process Industries,21034300000,10.4013,,23-Feb-22
APLLTD,ALEMBIC PHARMACEUT,1.36572E+11,718.55,3.60464278,-2.37092391,485513,348865366.2,719.7922277,735.6799064,759.8509799,52832800000,Health Technology,10905200000,13.611,,23-Feb-22
FINEORG,FINE ORGANIC IND,1.15945E+11,3963.35,4.76322641,0.79730417,26213,103891293.6,3895.96414,3875.9187,3793.781532,11332184000,Process Industries,2532254000,33.4813,,23-Feb-22
MEDPLUS,MEDPLUS HEALTH SERV LTD,1.138E+11,988.65,3.83888247,-12.71354787,164294,162429263.1,1043.457788,1077.53854,,30692690000,Retail Trade,,,,23-Feb-22
ANGELONE,ANGEL ONE LTD,1.06387E+11,1324,3.06309111,0.98390664,434806,575683144,1313.380646,1322.690703,1299.328947,12874190000,Finance,7354850000,3.321,66541700000,23-Feb-22
TV18BRDCST,TV18 BROADCAST LTD,1.00376E+11,61.2,4.52604611,-8.31460674,10563240,646470288,63.52318484,62.16208257,56.21091584,44976200000,Consumer Services,10631000000,8.26236,,23-Feb-22
WELSPUNIND,WELSPUN INDIA,96488933046,112.3,5.39652745,-3.89388104,2423521,272161408.3,115.5290376,122.4794539,132.5585559,69081870000,Consumer Non-Durables,14940900000,11.3732,,23-Feb-22
BALAMINES,BALAJI AMINES LTD,90269188721,2905.25,4.23169375,-4.67714417,95190,276550747.5,2977.492168,3093.956013,3248.027019,13083867676,Process Industries,5620059000,15.6938,,23-Feb-22
GRAPHITE,GRAPHITE INDIA,89325724461,472.05,3.25932407,-6.66337123,617663,291567819.2,488.1918328,497.9405007,499.8992155,19376900000,Process Industries,5350000000,,,23-Feb-22
CENTURYTEX,CENTURY TEXT & IND,84017490890,775.4,3.11855841,-5.53694341,338661,262597739.4,801.2490027,830.6296173,859.6143272,25815700000,Process Industries,4056800000,31.5544,,23-Feb-22
SUZLON,SUZLON ENERGY LTD,83773167794,9.5,3.26086957,-6.40394089,64946331,616990144.5,10.00133043,10.36818798,10.05214699,33457200000,Utilities,7474600000,20.0899,,23-Feb-22
SAPPHIRE,SAPPHIRE FOODS INDIA LTD,83215305806,1356,3.97178347,-6.93205216,74492,101011152,1369.802782,1361.022056,1298.973557,10196190000,Consumer Services,,,,23-Feb-22
NLCINDIA,NLC INDIA LTD,82088887581,61.4,3.71621622,-7.11043873,1713666,105219092.4,64.4680452,65.93389671,65.43976187,97754100000,Utilities,39437300000,11.8626,,23-Feb-22
MASTEK,MASTEK,77524687745,2687.6,3.17280562,1.64901664,77649,208689452.4,2646.215363,2694.230052,2780.769019,17218600000,Technology Services,4513500000,7.27615,,23-Feb-22
JUBLINGREA,JUBILANT INGREVIA LTD,76192135816,504.6,5.50967067,-4.64852608,639946,322916751.6,522.2922522,542.1055711,567.1121902,6834450000,Process Industries,8065800000,9.36576,,23-Feb-22
WESTLIFE,WESTLIFE DEVELOPMENT LTD,71833448878,473.05,3.45544013,-1.15963226,240854,113935984.7,467.9866475,479.2379159,507.2297879,9773220000,Finance,1751782000,125.2,,23-Feb-22
ECLERX,ECLERX SERVICES,71170811401,2217.05,5.25303836,-4.89049999,71328,158137742.4,2251.291775,2333.214872,2399.342221,15644910000,Technology Services,6360210000,7.00101,,23-Feb-22
HLEGLAS,HLE GLASCOAT LTD,70807685228,5366.6,3.67336688,-4.5479608,9853,52877109.8,5591.826537,5834.039152,5998.299549,4844893000,Producer Manufacturing,984866000,31.6989,,23-Feb-22
EIDPARRY,E.I.D.-PARRY(INDIA,70280547588,420.05,6.01968703,-1.0715968,518476,217785843.8,426.7938693,444.0708917,459.522901,1.51267E+11,Process Industries,20962800000,,,23-Feb-22
PRIVISCL,PRIVI SPECIALITY CHE LTD,69359733035,1843.5,3.61398381,-3.09099511,11535,21264772.5,1878.654228,1922.061886,1923.240402,12695777000,Process Industries,2188458000,18.6568,,23-Feb-22
SOBHA,SOBHA LTD,69109435081,768.15,5.37759791,-5.2602368,540273,415010705,790.324075,821.9913883,846.6250636,21097790000,Finance,8346000000,10.1933,1.10475E+11,23-Feb-22
POLYMED,POLY MEDICURE LTD,67365198410,744.45,5.28958348,-2.80062671,78945,58770605.25,755.0617636,792.8794482,855.2323815,7787929000,Health Technology,2115801000,33.1944,,23-Feb-22
RENUKA,SHREE RENUKA SUGAR,67153849865,34.5,9.52380952,-7.38255034,13505555,465941647.5,34.5714061,34.47127889,32.99713653,55553550000,Process Industries,3190000000,11.9004,,23-Feb-22
TCIEXP,TCI EXPRESS LTD,64514556885,1785.05,6.76774927,0.46714507,22737,40586681.85,1753.792493,1821.883206,1936.654766,8439900000,Transportation,1789000000,26.0405,,23-Feb-22
BEML,BEML LTD,62795743671,1592.05,5.48267409,-8.36067461,273311,435124777.6,1666.616139,1724.171345,1749.926081,35566414000,Producer Manufacturing,,25.7472,,23-Feb-22
SUNTECK,SUNTECK REALTY LTD,62233492661,443.85,4.58294062,-1.43237841,444233,197172817.1,453.1165224,471.4159059,483.5056273,6307074000,Finance,1412906000,29.3756,,23-Feb-22
TRIVENI,TRIVENI ENGINEERIN,61973924358,264.65,3.15727928,-4.54463481,879537,232769467.1,266.4496353,265.9896485,252.387822,44883851000,Process Industries,6239900000,7.9515,,23-Feb-22
DEEPAKFERT,DEEPAK FERTILISERS,61954627504,539.4,4.99270073,-7.35142563,428787,231287707.8,548.7073277,547.309086,505.49028,58084900000,Process Industries,11274500000,4.49622,,23-Feb-22
PRAJIND,PRAJ INDUSTRIES,59923347473,350.5,7.48236737,-6.65778961,1082279,379338789.5,360.3896331,374.6992729,373.8166696,13046687000,Producer Manufacturing,1916700000,28.1027,,23-Feb-22
RTNINDIA,RATTANINDIA ENT LTD,58331780425,44.7,5.92417062,-9.60566229,1651320,73814004,47.6772551,50.02518045,51.36108727,1000000,Utilities,-28793000,,,23-Feb-22
JKLAKSHMI,JK LAKSHMI CEMENT,50739330965,445.75,3.27849861,-5.83078061,134221,59829010.75,472.82507,504.4804482,549.0123898,47274400000,Non-Energy Minerals,9391000000,6.28938,,23-Feb-22
SHARDACROP,SHARDA CROPCHEM,46445506894,561.3,8.400927,-0.44341965,345869,194136269.7,554.8218493,543.4911678,476.5069114,23912317000,Process Industries,6161698000,4.9147,,23-Feb-22
JPPOWER,JAIPRAKASH POWER,46055246205,7,4.47761194,-17.64705882,14774401,103420807,7.82292714,8.19246633,7.80173946,33017100000,Utilities,11163000000,10.4398,,23-Feb-22
HIKAL,HIKAL LTD,44850648079,375.95,3.28296703,-8.31605902,121693,45750483.35,392.2597762,408.5792852,447.054444,17095970000,Process Industries,3888300000,7.44375,,23-Feb-22
RPOWER,RELIANCE POWER,44133639957,13.55,4.63320463,-8.44594595,22444628,304124709.4,14.37807528,14.89144409,14.78805158,73737900000,Utilities,31925400000,6.91559,,23-Feb-22
TCI,TRANSPORT CORP OF,44107122920,605.6,6.37625154,-4.99647031,162240,98252544,626.8308434,660.3426456,688.2980882,28023886000,Transportation,3780700000,8.34253,,23-Feb-22
GAEL,GUJARAT AMBUJA EXP,40099283352,188.45,8.05619266,0.64085447,1559550,293897197.5,185.6947964,187.4055442,182.9802776,47053000000,Process Industries,6624400000,5.27027,,23-Feb-22
RELIGARE,RELIGARE ENTERPRIS,38679500989,126.25,4.5981773,4.16666667,682948,86222185,125.4265495,127.517069,133.6313615,25081603000,Finance,-6120459000,10.4436,,23-Feb-22
RCF,RASHTRIYA CHEM & F,38645753814,73,4.28571429,-3.50297422,1441010,105193730,74.04398926,75.66189882,76.87371534,38238500000,Process Industries,8492100000,,,23-Feb-22
GHCL,GHCL,37220182212,423.15,8.44438749,0.41528239,279802,118398216.3,418.0305426,423.694028,418.6105929,29000900000,Process Industries,8265100000,4.47039,,23-Feb-22
RUPA,RUPA & CO LTD,35758217478,467.65,3.99154992,-2.37970984,620015,289950014.8,475.174458,485.0669113,479.4036812,13113122000,Consumer Non-Durables,2849385000,9.62335,,23-Feb-22
GLOBUSSPR,GLOBUS SPIRITS LTD,34217849570,1277.75,7.53661,-0.16408173,387471,495091070.3,1281.796314,1342.233693,1371.119159,12302643000,Consumer Non-Durables,3321826000,4.07241,,23-Feb-22
HATHWAY,HATHWAY CABLE & DA,32038891984,18.7,3.03030303,-6.96517413,3695862,69112619.4,19.73258311,20.51743637,21.2987853,17317700000,Consumer Services,4145500000,6.38489,,23-Feb-22
SOMANYCERA,SOMANY CERAMICS LD,31879922493,777,3.46893934,-6.13674801,31669,24606813,799.7952908,822.7887132,842.1046248,16459029000,Producer Manufacturing,2433400000,10.9069,,23-Feb-22
DALMIASUG,DALMIA BHARAT SUGA,31461110072,401.85,3.78357438,-1.65198238,89247,35863906.95,408.2493367,417.0003914,417.8139933,24959700000,Non-Energy Minerals,4432300000,6.98348,,23-Feb-22
SUPRIYA,SUPRIYA LIFESCIENCE LTD,30732356035,414,8.40534171,-4.32170095,1392975,576691650,420.3262446,439.5803785,,,Health Technology,,,,23-Feb-22
ARVIND,ARVIND LTD,30084631596,119.65,3.59307359,-8.76858559,1647918,197173388.7,127.3689971,131.3685735,130.5672058,49642200000,Process Industries,7613700000,9.94728,,23-Feb-22
DOLLAR,DOLLAR INDUSTRIES,28349553765,534.4,6.91207362,-2.33025679,155311,82998198.4,540.9101097,556.0816876,538.093481,10369557000,Consumer Non-Durables,1955302000,10.1847,,23-Feb-22
RTNPOWER,RATTANINDIA POWER,27978252241,5.5,4.76190476,-9.09090909,6934143,38137786.5,5.85644447,6.22534817,6.27609434,15598612000,Utilities,8373900000,13.1806,,23-Feb-22
SARDAEN,SARDA ENERGY & MIN,27411837260,785.95,3.07540984,-4.99818687,31662,24884748.9,810.7813634,825.1143632,819.34135,21988100000,Non-Energy Minerals,11747700000,5.95526,,23-Feb-22
COSMOFILMS,COSMO FILMS LTD,27324492678,1549.95,3.09631502,-9.65024774,44366,68765081.7,1625.124851,1652.027359,1612.053699,22518900000,Process Industries,5366500000,4.43207,,23-Feb-22
JINDALSAW,JINDAL SAW LTD,27227063795,88.35,3.88007055,-7.63199164,983316,86875968.6,92.9771375,96.76228076,101.0571342,1.0617E+11,Producer Manufacturing,14795200000,5.56827,,23-Feb-22
KIRLFER,KIRLOSKAR FERROUS IND LTD,26940968685,202.55,3.95175776,-2.19700628,89210,18069485.5,202.8949027,205.869929,211.6528089,20380800000,Non-Energy Minerals,7308000000,5.44985,,23-Feb-22
USHAMART,USHA MARTIN,25659257853,91.95,9.20427553,1.09950522,1388628,127684344.6,88.60337215,88.99741216,89.22130091,20854000000,Producer Manufacturing,3799700000,5.22128,,23-Feb-22
EVEREADY,EVEREADY INDUSTRIE,25226113906,360.3,3.6387171,13.23067253,1229104,442846171.2,332.3230374,317.6740941,312.2087461,12400723000,Producer Manufacturing,1972211000,,,23-Feb-22
FILATEX,FILATEX INDIA,25083284523,115.35,3.31392745,-5.79828501,805907,92961372.45,119.2556917,120.1693609,115.8778636,22266734000,Process Industries,5741900000,5.86086,,23-Feb-22
