Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
UNITEDPOLY,UNITED POLYFAB GUJ. LTD.,1030819999.9999998,59,19.91869675,51.47624772,440446,25986314,44.49620625,42.11794023,40.73307321,39.6585303,6542688000,Process Industries,326774000,6.36833714,2222430000
RAYMOND,RAYMOND LTD,73117939804,1258.2,14.4494474,15.43119266,1705819,2146261465.8,1123.77759645,1090.02167244,1035.27443072,871.0955935,61526222000,Process Industries,9369900000,9.33575468,
APOLLO,APOLLO MICRO SYSTE,3674169813,198.9,12.34114657,7.86334641,1777953,353634851.7,182.91255347,174.89635433,160.10881255,138.99415327,2431911000,Electronic Technology,483055020,9.68186567,
JBMA,JBM AUTO LTD,47765930151,450.65,11.80995191,10.22379576,3925315,1768943204.75,409.98964352,403.49950293,408.00855897,412.72378295,31930470000,Producer Manufacturing,3704100000,16.54592483,
GAYAPROJ,GAYATRI PROJECTS,2156528933,12.65,10,50.5952381,8766313,110893859.45,10.81350232,10.92167046,12.25231527,19.36590588,31023368000,Industrial Services,-7732437000,,
GENUSPAPER,GENUS PAPER AND BO,4268290802.000001,18.3,9.90990991,15.45741325,2211797,40475885.1,16.4284121,16.26169306,16.40553052,15.51654482,5823546000,Process Industries,570088000,10.21388418,
PRESSMN,PRESSMAN ADVERTISI,1114260937,52.15,9.90516101,30.70174783,896258,46739854.7,44.40816777,43.05194194,42.18108543,39.1899915,140796000,Commercial Services,26675000,33.2333997,
NIPPOBATRY,INDO NATIONAL LTD,2775000000,405.95,9.74588023,13.71148459,85634,34763122.3,378.95654841,371.12767294,361.16585117,383.73681773,5701828000,Producer Manufacturing,198404000,20.4274309,
KIRLOSENG,KIRLOSKAR OIL ENGI,37445347362,283.95,9.71793314,20.06342495,1862719,528919060.0499999,252.90385129,244.13941321,220.99816117,183.78019723,40056700000,Producer Manufacturing,5016700000,9.72799796,
ESSENTIA,INTEGRA ESSENTIA LTD,2082679999.9999995,5.95,9.17431193,-3.25203252,3153576,18763777.2,5.94896735,6.09023747,5.92344922,3.55865712,685254200,Consumer Non-Durables,16845000,140.44083218,
SRPL,SHREE RAM PROTEINS LTD.,1610783940,81.9,8.90957881,4.73146182,189888,15551827.2,76.51978752,77.9932009,83.71608876,83.24769119,2877970000,Process Industries,128529000,12.53245524,
ATLANTA,ATLANTA LTD,1511824938,20.05,8.37837838,0.75376884,237182,4755499.1,18.88784732,18.56611928,17.98556886,17.37402345,2344959000,Industrial Services,-3246826000,,
MAANALU,MAAN ALUMINIUM LTD,2196521407,175.45,8.10227973,10.51968504,124412,21828085.4,167.05757538,166.13318155,157.62429962,137.47787498,5722917000,Non-Energy Minerals,375100000,7.56435726,
LAOPALA,LA-OPALA RG LTD,39627000000,384.7,8.09216376,7.53319357,854331,328661135.7,362.19214927,355.63821567,339.16264253,321.21398275,3212614000,Consumer Durables,1382480000,26.20084775,
