Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
CARERATING,CARE RATINGS LTD,12444138237,478.05,15.2066514,13.95709178,4375257,2091591608.85,429.57276211,428.34091134,444.50802471,520.55923709,2476328000,Commercial Services,798212000,14.73891302,
PARAGMILK,PARAG MILK FOODS,7111426943,83.25,12.95793758,13.03462322,5176797,430968350.25,75.52986376,76.32903796,82.82505085,101.98468229,20717540000,Consumer Non-Durables,-4383690000,-1.62224677,
AHLADA,AHLADA ENGINEERS LTD,1100223129,96.15,11.67247387,11.02771363,40084,3854076.6,86.79058567,86.11343648,89.72503112,110.5178384,1521438000,Producer Manufacturing,267089440.00000003,4.11930599,
ONWARDTEC,ONWARD TECHNO,6147885839,319.35,11.44651893,15.28880866,201340,64297929.00000001,288.85120812,286.91611574,296.50187267,288.32378722,3072687000,Industrial Services,214092000,26.76615118,7758940000
AURIONPRO,AURIONPRO SOLUTION,5725121136,275.6,10.04192454,-1.5538489,188945,52073242.00000001,258.532901,263.77574741,282.92923015,274.92093259,5050122000,Technology Services,1116269000,5.18070746,
SMARTLINK,SMARTLINK HOLDINGS,1227922532,148.9,9.9704579,26.50807137,163701,24375078.9,125.28798541,119.33459781,117.83868039,122.61690419,760770000,Electronic Technology,61819000,20.50792688,
MHLXMIRU,MAHALAXMI RUBTECH LTD,1288239450,130.75,9.96635828,9.32274247,86083,11255352.25,120.88713379,120.3498593,122.75089266,,1973193000,Process Industries,177159000,7.27165682,
GTL,GTL LTD,1436119651,10.25,9.62566845,12.02185792,2205069,22601957.25,9.18573923,9.0075869,9.37006084,12.20293024,1935060000,Technology Services,372737000,3.85290339,
DHANVARSHA,DHANVARSHA FINVEST,10315445027,105.85,9.57556936,9.12371134,1523822,161296558.7,97.57755159,92.20897859,,,759820000,Finance,140192000,73.58083933,
VALIANTORG,VALIANT ORGANICS LTD,14442941015,578.1,9.57164519,8.05607477,644671,372684305.1,543.00442867,554.87692499,634.63966206,934.06080619,11532711000,Process Industries,2042181000,8.78441677,
UNIVPHOTO,UNIVERSUS IMAGINGS LTD,5692233963,579.2,9.56209212,19.16469499,8102,4692678.4,526.00279815,519.27258129,518.62701382,518.43384049,561600000,Consumer Durables,106600000,53.3980672,
KEC,KEC INTERNATIONAL,106383168053,448.1,9.5599022,12.39026837,8866476,3973067895.6,413.45375773,404.22904814,397.16135676,415.18199988,137422600000,Industrial Services,9035000000,14.86258639,125375000000
BALAJITELE,BALAJI TELEFILMS,4019934980,43.05,9.40279543,6.03448276,1446871,62287796.55,40.99190121,42.73148899,49.5069904,60.4777287,3368522000,Consumer Services,-1216868000,-3.58132762,
