Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
EXCELINDUS,EXCEL INDUSTRIES,12184143281,1161.35,19.99896673,17.72427775,170771,198324900.9,990.3246975,957.6988573,936.3989312,7465678000,Process Industries,1392401000,8.03819,12360100000,14-Feb-22
SHREYAS,SHREYAS SHIP & LO,5996601843,324.9,18.77170536,14.1000878,1069448,347463655.2,282.9831136,272.5701447,267.2543045,5599800000,Transportation,1256700000,5.3812,8448230000,14-Feb-22
RAJMET,RAJNANDINI METAL LTD,3673500000,229.3,11.52723735,9.24249643,102428,23486740.4,210.4290996,201.6276973,184.7664937,6309174000,Distribution Services,152885000,,,14-Feb-22
MIRZAINT,MIRZA INTERNATIONA,15892423302,146.7,10.6752169,1.76899063,4733234,694365427.8,143.5373763,144.2438948,133.3309422,10489300000,Consumer Non-Durables,1713176000,6.90595,8129130000,14-Feb-22
KRITI,KRITI INDUSTRIES IND LTD,5322457787,116.85,9.10364146,17.55533199,292547,34184116.95,108.4637292,111.1345568,115.6597283,5875935000,Consumer Non-Durables,499189000,5.93262,,14-Feb-22
NDTV,NEW DELHI TELEVISI,10434675071,174.3,8.12655087,44.28807947,3357785,585261925.5,136.0016271,126.7293714,115.9666718,3576290000,Consumer Services,678900000,5.41788,,14-Feb-22
MHLXMIRU,MAHALAXMI RUBTECH LTD,1513920305,149.35,4.99121265,67.52664049,328932,49125994.2,109.5300376,,,1368845449,Process Industries,183487000,3.2976,882230000,14-Feb-22
SRPL,SHREE RAM PROTEINS LTD.,1679328039,82.3,4.9744898,27.3993808,399885,32910535.5,68.86894252,61.52291573,51.77229847,1525585000,Distribution Services,140168000,17.916,,14-Feb-22
SWELECTES,SWELECT ENERGY SYS,4548385774,321.9,4.97309636,14.37200213,99203,31933445.7,294.4761003,289.2058459,277.1200654,2446903000,Producer Manufacturing,591556000,5.43134,,14-Feb-22
MITCON,MITCON CONSU & ENG,1677690000,131.1,4.88,27.34337057,246000,32250600,111.0566209,98.8268974,80.55506071,606925793,Commercial Services,101366000,,,14-Feb-22
ANSALAPI,ANSAL PROPS & INFR,2605007406,17.3,4.84848485,1.46627566,1494654,25857514.2,16.21076757,15.53965,14.20873224,8407505000,Finance,,,3158120000,14-Feb-22
ORBTEXP,ORBIT EXPORTS LTD,3081963967,118.05,4.65425532,-6.45800317,610130,72025846.5,118.4241251,112.2318147,97.71130603,668267000,Process Industries,254309000,106.47,,14-Feb-22
SHIL,SOMANY HOM INNOVATION LTD,27497934032,392.25,3.08804205,-1.44472362,1509545,592119026.3,391.2421714,393.5938553,400.4899384,17522405000,Producer Manufacturing,1777400000,15.5693,,14-Feb-22
