Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),,,Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
KPIGLOBAL,KPI GLOBAL INFRA LTD,7044322970,408.7,4.9967887,-0.54751186,45807,18721320.9,409.3302246,421.6619965,396.0830632,,1022916000,Utilities,,5.20395,,28-Feb-22,,,,,,,,,,,,,,,,,,
ASAL,AUTOMOTIVE STAMPIN,3945475498,256.6,4.99181669,-14.46666667,42753,10970419.8,301.8741356,369.4109644,429.1028571,266.3770866,3391302000,Producer Manufacturing,210995000,1760.71,,28-Feb-22,,,,,,,,,,,,,,,,,,
RAMASTEEL,RAMA STEEL TUBES,5319499698,332.35,4.99131259,3.16622691,126223,41950214.05,327.2502677,335.4686552,329.421076,246.0371508,4697530000,Non-Energy Minerals,333451000,10.2305,,28-Feb-22,,,,,,,,,,,,,,,,,,
SRPL,SHREE RAM PROTEINS LTD.,2425815009,118.9,4.98896247,16,1332162,158394061.8,103.1676741,89.68225947,69.1327891,46.24937704,1525585000,Distribution Services,140168000,17.916,,28-Feb-22,,,,,,,,,,,,,,,,,,
SIRCA,SIRCA PAINT INDIA LTD,11579728831,443.45,4.94616022,-3.61877853,27680,12274696,451.333461,471.3908803,489.3178542,429.2016266,1431019000,Process Industries,376520000,32.7525,,28-Feb-22,,,,,,,,,,,,,,,,,,
DUCON,DUCON INFRATECHNOL,5028756593,25.55,4.92813142,27.43142145,467789,11952008.95,23.02636143,22.92227697,21.50178038,15.20663597,3419538000,Distribution Services,127718000,13.1171,,28-Feb-22,,,,,,,,,,,,,,,,,,
URJA,URJA GLOBAL LTD,7093301605,13.95,4.88721805,-9.70873786,4276564,59658067.8,15.48712662,17.43038329,18.23886866,12.50156874,1484595154,Utilities,6922000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
SUPRAJIT,SUPRAJIT ENG LTD,41356411174,313.6,4.88294314,-2.44205942,302819,94964038.4,323.7871912,348.2324764,379.048279,352.0168571,16408550000,Producer Manufacturing,2650480000,15.7689,,28-Feb-22,,,,,,,,,,,,,,,,,,
JINDRILL,JINDAL DRILLING,5244130662,190.35,4.87603306,4.13019694,190252,36214468.2,186.3889921,183.9790575,169.5356575,140.3565229,3978553000,Industrial Services,759525000,8.78539,,28-Feb-22,,,,,,,,,,,,,,,,,,
RTNPOWER,RATTANINDIA POWER,27924549952,5.4,4.85436893,-1.81818182,5143168,27773107.2,5.59455148,5.97804374,6.16216405,5.24717681,15598612000,Utilities,8373900000,13.1806,,28-Feb-22,,,,,,,,,,,,,,,,,,
GREENPOWER,ORIENT GREEN POWER,7845065009,10.95,4.784689,-13.77952756,5340212,58475321.4,11.9322471,13.46009046,14.65800792,9.4730951,2547500000,Utilities,2199000000,9.01709,,28-Feb-22,,,,,,,,,,,,,,,,,,
INDORAMA,INDO RAMA SYNTHETC,16737353105,67,4.76935106,-4.55840456,374031,25060077,69.07013517,72.00751178,70.28307935,56.90934681,20411400000,Process Industries,2748800000,17.5212,,28-Feb-22,,,,,,,,,,,,,,,,,,
NH,NARAYANA HRUDAYALA,1.34E+11,685.4,4.74516696,7.45473074,254009,174097768.6,652.9989067,648.3573392,630.6506459,551.341832,25823460000,Health Services,6189570000,44.6242,,28-Feb-22,,,,,,,,,,,,,,,,,,
VALIANTORG,VALIANT ORGANICS LTD,22955559553,886.35,4.7447412,-2.56142472,47733,42308144.55,908.6009769,973.526102,1061.635923,1251.831465,7548077000,Process Industries,2055972000,18.1819,,28-Feb-22,,,,,,,,,,,,,,,,,,
SARDAEN,SARDA ENERGY & MIN,29041260808,844.35,4.71908719,8.54920615,82727,69850542.45,810.6885153,820.6658263,817.8762111,719.7336057,21988100000,Non-Energy Minerals,11747700000,5.95526,,28-Feb-22,,,,,,,,,,,,,,,,,,
KITEX,KITEX GARMENTS LTD,15042299797,238.1,4.705365,2.98442907,884622,210628498.2,233.9698361,239.4206349,231.0164148,182.8085502,4348212000,Consumer Non-Durables,1338407000,5.58914,,28-Feb-22,,,,,,,,,,,,,,,,,,
OLECTRA,OLECTRA GREENTECH,49909189461,633.95,4.67266573,-11.79212467,378924,240218869.8,686.6395629,727.7033935,754.8917323,565.995665,2813761000,Producer Manufacturing,700918000,81.4437,,28-Feb-22,,,,,,,,,,,,,,,,,,
NBVENTURES,NAVA BHARAT VENTUR,18853272926,125.9,4.61154965,3.02782324,691053,87003572.7,123.6298675,125.0350502,122.6853726,110.1025184,25433360000,Utilities,11956765000,4.23308,,28-Feb-22,,,,,,,,,,,,,,,,,,
STOVEKRAFT,STOVE KRAFT LTD,20873312555,666.35,4.57470182,5.6022187,235821,157139323.4,659.2626127,709.7061498,814.1641514,788.3683813,8560130000,Consumer Durables,1045360000,12.4762,,28-Feb-22,,,,,,,,,,,,,,,,,,
SATIA,SATIA INDUSTRIES LTD,9094999695,95.05,4.56545655,1.22470714,188773,17942873.65,94.80375871,96.26665987,95.49784038,93.53545186,5874207000,Process Industries,1713989000,8.44608,,28-Feb-22,,,,,,,,,,,,,,,,,,
VISHNU,VISHNU CHEMICALS L,15105143360,1316.35,4.54689858,-1.30459231,7980,10504473,1268.449876,1224.364886,1100.452065,789.6579387,6736994000,Process Industries,1300574000,8.71316,,28-Feb-22,,,,,,,,,,,,,,,,,,
PARAS,PARAS DEF AND SPCE TECH L,23598935980,632.4,4.54620598,0.08704598,190227,120299554.8,628.2200281,649.0584317,684.89849,,1433299000,Electronic Technology,,,,28-Feb-22,,,,,,,,,,,,,,,,,,
AVTNPL,AVT NATURAL PROD,13400991699,92,4.54545455,3.19685923,270967,24928964,90.23110334,90.18143442,86.73532594,76.10269604,4851279000,Process Industries,1021736000,9.91913,,28-Feb-22,,,,,,,,,,,,,,,,,,
YAARI,YAARI DIGI INT SER LTD,5251919540,66.8,4.53834116,0.3003003,352829,23568977.2,67.19073946,71.97840735,81.97837344,,1684600000,Distribution Services,-710100000,134.193,,28-Feb-22,,,,,,,,,,,,,,,,,,
CONFIPET,CONFIDENCE PETRO IND LTD.,18588580107,68.4,4.50725745,-3.66197183,662677,45327106.8,68.58818558,70.55768835,73.53751001,69.47918336,8631001000,Energy Minerals,1993800000,11.2308,,28-Feb-22,,,,,,,,,,,,,,,,,,
FCL,FINEOTEX CHEMICAL,16756236392,158.3,4.45397559,-2.0723786,1406472,222644517.6,158.1308281,159.5374687,152.6281872,121.8039402,2174356000,Process Industries,625380000,17.3404,,28-Feb-22,,,,,,,,,,,,,,,,,,
WALCHANNAG,WALCHANDNAGAR IND,1840694203,50.5,4.4467425,-6.82656827,212851,10748975.5,51.87196611,53.53527392,54.16060427,57.52855346,3256400000,Producer Manufacturing,130500000,27.4371,,28-Feb-22,,,,,,,,,,,,,,,,,,
SUZLON,SUZLON ENERGY LTD,81952013672,9.4,4.44444444,-2.59067358,71897736,675838718.4,9.6272501,10.05531815,9.95065202,8.00764448,33457200000,Utilities,7474600000,20.0899,,28-Feb-22,,,,,,,,,,,,,,,,,,
GET_D,GE T&D INDIA LTD,21763955841,88.45,4.36578171,-5.24906267,159492,14107067.4,93.73142667,101.8949296,113.3998297,123.1396276,34523700000,Producer Manufacturing,951300000,18.5116,,28-Feb-22,,,,,,,,,,,,,,,,,,
FCSSOFT,FCS SOFTWARE SOLUT,5692811695,3.6,4.34782609,-4,11732792,42238051.2,3.94843686,4.51035962,4.69849314,3.02008189,340587000,Technology Services,9094000,24.4896,,28-Feb-22,,,,,,,,,,,,,,,,,,
GLOBUSSPR,GLOBUS SPIRITS LTD,39221722179,1422,4.3401695,15.15102437,436813,621148086,1308.598657,1340.011468,1366.373063,1094.72374,12302643000,Consumer Non-Durables,3321826000,4.07241,,28-Feb-22,,,,,,,,,,,,,,,,,,
NCC,NCC LTD,36407839955,62.3,4.26778243,-2.04402516,3778838,235421607.4,62.94040293,65.97659885,69.84760728,73.69615037,79494200000,Industrial Services,10597700000,7.0512,,28-Feb-22,,,,,,,,,,,,,,,,,,
BALPHARMA,BAL PHARMA,1605262980,113.1,4.23963134,8.43720038,137765,15581221.5,111.2280353,114.4698495,114.8381944,101.2643271,2470404000,Health Technology,263779000,7.79637,,28-Feb-22,,,,,,,,,,,,,,,,,,
SPENCERS,SPENCERS RETAIL,6940164879,80.3,4.21804023,-3.42754059,369783,29693574.9,82.36451097,87.4927931,95.7972852,99.4384007,24280704000,Retail Trade,418908000,188.381,,28-Feb-22,,,,,,,,,,,,,,,,,,
TEAMLEASE,TEAMLEASE SERVICES,67527101466,4105.45,4.20981826,4.85123228,53812,220922475.4,4011.991013,4066.109698,4124.710018,3984.421767,48814567000,Commercial Services,1274494000,60.7254,,28-Feb-22,,,,,,,,,,,,,,,,,,
NDL,NANDAN DENIM LTD,6652391268,144.2,4.19075145,6.53860362,176757,25488359.4,140.1791643,141.5882393,135.0626804,95.67525775,10882670000,Process Industries,1785203000,8.15283,,28-Feb-22,,,,,,,,,,,,,,,,,,
APTUS,APTUS VALUE HSG FIN I LTD,1.64E+11,343.75,4.18245189,-1.58889207,135300,46509375,344.7211744,350.9444861,351.5409127,,6552350000,Finance,5214596000,,1.92E+11,28-Feb-22,,,,,,,,,,,,,,,,,,
ASTEC,ASTEC LIFESCIENCES,28978126596,1542.25,4.16033499,-2.71557434,39043,60214066.75,1531.229345,1567.046846,1554.991792,1393.156055,5548721000,Process Industries,1268047000,19.0418,,28-Feb-22,,,,,,,,,,,,,,,,,,
ANUP,THE ANUP ENGINEERI,8057584088,846.8,4.15103622,1.66886781,26764,22663755.2,839.2498989,870.8772171,929.3685098,913.7648549,2762488000,Producer Manufacturing,816830000,8.22191,,28-Feb-22,,,,,,,,,,,,,,,,,,
WEBELSOLAR,WEBSOL ENERGY SYST,3402073829,96.6,4.1509434,-6.16804274,307805,29733963,101.9569904,111.5646468,115.8235794,87.70492467,1535963000,Producer Manufacturing,300100000,8.98728,6103520000,28-Feb-22,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,WEST COAST PAPER M,15204457596,240.05,4.14316703,-2.49796913,189695,45536284.75,239.0328018,242.9889333,245.9256353,241.7847482,22424455000,Process Industries,5651440000,8.81272,,28-Feb-22,,,,,,,,,,,,,,,,,,
VSSL,VARDHMAN SPECIAL S,9479144103,242.95,4.13630519,1.5889609,50657,12307118.15,239.6163686,244.7323256,249.9089919,232.9678624,9368236000,Non-Energy Minerals,1891228000,6.27551,,28-Feb-22,,,,,,,,,,,,,,,,,,
HLEGLAS,HLE GLASCOAT LTD,73540350908,5626.7,4.09309123,7.67258288,13028,73304647.6,5491.288539,5707.778431,5923.133328,4895.227262,4844893000,Producer Manufacturing,984866000,31.6989,,28-Feb-22,,,,,,,,,,,,,,,,,,
SFL,SHEELA FOAM LTD,1.61E+11,3423.75,4.08907806,5.16656172,49554,169660507.5,3294.153243,3296.138449,3265.645756,2778.524978,24353575000,Process Industries,3272100000,26.7681,,28-Feb-22,,,,,,,,,,,,,,,,,,
GULFOILLUB,GULF OIL LUBRICANT,21426547904,441.85,4.08716137,-6.47687586,42494,18775973.9,457.203544,465.6057377,477.031656,559.0526189,16513295000,Energy Minerals,2745022000,12.526,,28-Feb-22,,,,,,,,,,,,,,,,,,
FLFL,FUTURE LIFESTYLE F,10391405899,53.5,4.08560311,11.34235172,1179958,63127753,50.3934096,50.34762007,51.40678322,61.29333755,22767200000,Consumer Non-Durables,1581600000,149.348,,28-Feb-22,,,,,,,,,,,,,,,,,,
GAEL,GUJARAT AMBUJA EXP,42621971950,193.7,4.0838259,7.07573245,733864,142149456.8,186.194896,187.1085766,183.3143857,169.4335504,47053000000,Process Industries,6624400000,5.27027,,28-Feb-22,,,,,,,,,,,,,,,,,,
ALPHAGEO,ALPHAGEO(INDIA),1771632954,289.4,4.06328659,-4.07689758,45429,13147152.6,299.9471644,321.8991078,346.4380325,333.8238463,1430987164,Industrial Services,366694000,1.34202,,28-Feb-22,,,,,,,,,,,,,,,,,,
VGUARD,V-GUARD INDUSTRIES,81096302612,195.1,4.05333333,-5.40606061,367062,71613796.2,199.5017995,206.1993731,216.6738594,231.1448479,27212399000,Producer Manufacturing,3375786000,33.4428,,28-Feb-22,,,,,,,,,,,,,,,,,,
JAMNAAUTO,JAMNA AUTO IND,38969767427,101.65,4.04298874,3.04105423,781237,79412741.05,100.372739,102.370647,104.0891223,93.80703288,10794784000,Producer Manufacturing,2114889000,18.0423,,28-Feb-22,,,,,,,,,,,,,,,,,,
MONTECARLO,MONTE CARLO FASHIO,9754436677,492.25,4.01479134,-4.65814449,46184,22734074,505.8733116,536.9037024,563.4698094,461.1882558,6218785000,Consumer Non-Durables,1582878000,3.16085,,28-Feb-22,,,,,,,,,,,,,,,,,,
AMRUTANJAN,AMRUTANJAN HEALTH,23267582176,835.55,4.01468941,7.01889209,83667,69907961.85,807.8253555,822.2147115,853.4875161,796.6357277,3328440000,Health Technology,755085000,19.9501,,28-Feb-22,,,,,,,,,,,,,,,,,,
IDFC,IDFC LTD,88921488376,57.9,3.9497307,0,11532470,667730013,58.03711291,59.80647867,59.99165101,55.07875881,3797200000,Finance,3490900000,29.8103,,28-Feb-22,,,,,,,,,,,,,,,,,,
BGRENERGY,BGR ENERGY SYSTEMS,5325523353,76.6,3.9348711,-6.41417227,322787,24725484.2,78.86445507,82.93372616,83.41657683,69.55719574,11397200000,Industrial Services,91800000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
VIKASECO,VIKAS ECOTECH LIMI,4849642728,5.3,3.92156863,3.92156863,8142965,43157714.5,5.33067834,5.32235152,4.68838551,3.36975318,1161777304,Process Industries,114030000,45.7428,,28-Feb-22,,,,,,,,,,,,,,,,,,
GRAPHITE,GRAPHITE INDIA,87801791242,466.95,3.91676867,-1.84971098,1492125,696747768.8,470.9515749,485.1740195,494.0182849,520.3933663,19376900000,Process Industries,5350000000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
POWERINDIA,HITACHI ENERGY IND,1.35E+11,3303.45,3.86084605,5.81367415,113626,375357809.7,3119.052566,3056.925163,2893.036486,2366.507115,37705100000,Electronic Technology,2443500000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
MANALIPETC,MANALI PETROCHEMS,16400126991,98.65,3.78748027,4.83528162,441368,43540953.2,98.10705928,102.7250458,108.2106319,98.91771154,10194175000,Process Industries,5485534000,2.62447,,28-Feb-22,,,,,,,,,,,,,,,,,,
ISGEC,ISGEC HEAVY ENG LTD,40577262783,571.75,3.78471592,5.94829982,58803,33620615.25,556.1920207,576.3434556,602.147077,656.5811674,52701661000,Producer Manufacturing,3233600000,13.4344,,28-Feb-22,,,,,,,,,,,,,,,,,,
BDL,BHARAT DYNAMICS LTD,79058368306,448.15,3.77445872,-2.51250816,678357,304005689.6,447.1504196,452.9972713,443.1370417,404.4193856,19436776000,Electronic Technology,6662793000,11.4338,,28-Feb-22,,,,,,,,,,,,,,,,,,
SALZERELEC,SALZER ELECTRONICS,2547648267,165.25,3.76766091,-5.02873563,183421,30310320.25,171.4759039,184.8273958,196.9216446,177.9871439,6236790000,Producer Manufacturing,690342000,6.10085,,28-Feb-22,,,,,,,,,,,,,,,,,,
POLYMED,POLY MEDICURE LTD,73766546428,798.4,3.75568551,11.41501535,66298,52932323.2,762.8422432,787.003038,845.4789293,873.22993,7787929000,Health Technology,2115801000,33.1944,,28-Feb-22,,,,,,,,,,,,,,,,,,
PRAKASH,PRAKASH INDUSTRIES,10762818800,62.4,3.74064838,-1.34387352,1046639,65310273.6,61.18777373,61.20610253,60.82387116,64.15198321,32158600000,Non-Energy Minerals,3865600000,5.7635,,28-Feb-22,,,,,,,,,,,,,,,,,,
GSPL,GUJARAT STATE PETR,1.57E+11,289.5,3.68911175,1.90073918,1667359,482700430.5,286.140886,291.7642642,299.6272534,300.3998663,1.15E+11,Utilities,33913203000,5.26306,,28-Feb-22,,,,,,,,,,,,,,,,,,
NDTV,NEW DELHI TELEVISI,9267744732,149.25,3.68183397,-8.09729064,271483,40518837.75,148.373796,142.8251965,128.3169026,95.72049384,3576290000,Consumer Services,678900000,5.41788,,28-Feb-22,,,,,,,,,,,,,,,,,,
MGL,MAHANAGAR GAS LTD,69366689682,727.65,3.66861376,-4.67050963,569000,414032850,744.4517643,773.5966391,827.5496961,965.5159471,21525371000,Utilities,10250100000,10.5183,,28-Feb-22,,,,,,,,,,,,,,,,,,
ISEC,ICICI SEC. LTD,2.07E+11,665.95,3.64980545,1.60195286,347684,231540159.8,668.9697139,692.8998716,727.3390985,696.8400284,25861700000,Finance,18828800000,7.55006,3.67E+11,28-Feb-22,,,,,,,,,,,,,,,,,,
ERIS,ERIS LIFESCIENCES,88721647311,675.55,3.62785703,-2.63044105,161751,109270888.1,677.237273,689.3898257,709.142688,709.828506,12118630000,Health Services,4825770000,18.4207,,28-Feb-22,,,,,,,,,,,,,,,,,,
SUNCLAYLTD,SUNDARAM CLAYTON,76202120235,3905.85,3.62131402,2.14844261,3746,14631314.1,3869.820034,3899.222857,3919.180171,3687.203975,2.03E+11,Producer Manufacturing,29228900000,7.81475,,28-Feb-22,,,,,,,,,,,,,,,,,,
KARURVYSYA,KARUR VYSYA BANK,36608089783,47.4,3.60655738,-5.95238095,3476444,164783445.6,48.65452667,49.7553061,49.77723872,49.17625712,65268511000,Finance,,,-2759670000,28-Feb-22,,,,,,,,,,,,,,,,,,
TANLA,TANLA PLATFORMS L,2.05E+11,1565.85,3.60604757,-1.31715771,282912,442997755.2,1560.561274,1611.836158,1648.604666,1300.601583,23414655000,Technology Services,6500948000,24.8386,,28-Feb-22,,,,,,,,,,,,,,,,,,
ELECTCAST,ELECTROSTEEL CAST,15651313496,37.5,3.59116022,-1.96078431,967127,36267262.5,38.01597922,38.91886292,38.47642951,35.05474534,34474179000,Non-Energy Minerals,6379203000,8.32521,43253200000,28-Feb-22,,,,,,,,,,,,,,,,,,
NLCINDIA,NLC INDIA LTD,83406193406,62.3,3.57439734,1.63132137,2768747,172492938.1,62.46168666,64.35394639,64.79370562,61.28241193,97754100000,Utilities,39437300000,11.8626,,28-Feb-22,,,,,,,,,,,,,,,,,,
FLUOROCHEM,GUJARAT FLUOROCHEM LTD,2.73E+11,2579.75,3.56074748,-3.15344908,60262,155460894.5,2664.133858,2720.923503,2641.62853,1993.051009,26400587000,Process Industries,10458600000,12.8834,,28-Feb-22,,,,,,,,,,,,,,,,,,
CONCOR,CONTAINER CORP,3.53E+11,599.2,3.56031801,1.8095319,1242329,744403536.8,589.807971,602.3905132,621.5413014,627.5238924,64077000000,Transportation,15271200000,34.5953,,28-Feb-22,,,,,,,,,,,,,,,,,,
JISLJALEQS,JAIN IRRIGATION,19528779656,39.85,3.50649351,3.64109233,2455584,97855022.4,39.25353964,40.37194648,41.61527668,36.62452893,56198460000,Producer Manufacturing,7735900000,21.5825,,28-Feb-22,,,,,,,,,,,,,,,,,,
JINDALPOLY,JINDAL POLY FILMS,42967604860,1016.25,3.47197475,-3.06657764,77281,78536816.25,1046.183327,1086.269786,1094.461437,978.9406975,40638240000,Process Industries,12036800000,3.15495,,28-Feb-22,,,,,,,,,,,,,,,,,,
CARTRADE,CARTRADE TECH LTD,24232579686,540,3.45818565,-3.96585453,784118,423423720,565.054907,617.7788715,737.8336384,,2496832000,Retail Trade,-906765000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
KPRMILL,KPR MILL LTD,2.10E+11,632.4,3.41782502,-4.22535211,442902,280091224.8,639.0559717,652.3769863,645.4137572,496.365121,34551300000,Consumer Non-Durables,11492100000,9.94377,,28-Feb-22,,,,,,,,,,,,,,,,,,
VSTIND,VST INDUSTRIES,44929812756,3007,3.41507033,0.78597644,7402,22257814,2986.830202,3031.423994,3104.161473,3273.393088,11109832000,Consumer Non-Durables,4036200000,10.2459,,28-Feb-22,,,,,,,,,,,,,,,,,,
HEMIPROP,HEMISPHERE PROP IND LTD,30024749565,108.5,3.33333333,-5.19877676,903915,98074777.5,112.7750672,119.3823682,127.1386627,131.1124729,3650000,Finance,-113727000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
SELAN,SELAN EXPLORATION,2210839926,150.45,3.26012354,-4.95893872,194242,29223708.9,149.7293764,150.9699608,148.868299,143.4653922,488198000,Energy Minerals,237400000,2.24515,,28-Feb-22,,,,,,,,,,,,,,,,,,
SUNDRMFAST,SUNDRAM FASTNERS,1.72E+11,852.1,3.2598158,1.42840138,75639,64451991.9,835.7805716,843.086395,854.0839624,813.8628607,36201500000,Producer Manufacturing,8466300000,26.8587,,28-Feb-22,,,,,,,,,,,,,,,,,,
ADVENZYMES,ADVANCED ENZYME TE,34585539320,319.85,3.24402841,10.77056277,1675988,536064761.8,298.2419219,304.2367401,318.2863447,347.14687,5004460000,Process Industries,2159990000,15.5425,,28-Feb-22,,,,,,,,,,,,,,,,,,
CRAFTSMAN,CRAFTSMAN AUTOMATION LTD,40882224642,1997.3,3.24364839,-1.21179147,6592,13166201.6,1983.737441,2029.757098,2126.174755,2007.846425,15362600000,Producer Manufacturing,5299500000,8.69084,,28-Feb-22,,,,,,,,,,,,,,,,,,
BAJAJHCARE,BAJAJ HEALTHCARE LTD,10401836835,389.75,3.23136008,7.50241346,65091,25369217.25,382.3593064,391.6068718,395.2452865,,6569838000,Health Technology,1279145000,5.79997,,28-Feb-22,,,,,,,,,,,,,,,,,,
IIFLSEC,IIFL SECURITIES,24946861740,84.75,3.22777101,-2.0797227,257338,21809395.5,85.25802385,88.18753446,91.33139854,86.94777665,8892820000,Finance,4460818000,0.350199,,28-Feb-22,,,,,,,,,,,,,,,,,,
ADVANIHOTR,ADVANI HOTELS & RE,4092714366,91.25,3.2239819,-3.08019118,225047,20535538.75,89.10900644,87.50070856,83.93202236,74.89377406,273902025,Consumer Services,92596000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
GANECOS,GANESHA ECOSPHERE,13291920489,628.1,3.22103533,-0.76625326,74370,46711797,638.9313115,644.9660115,613.7160522,539.4532773,7479370000,Process Industries,1141917000,15.8224,,28-Feb-22,,,,,,,,,,,,,,,,,,
NAHARPOLY,NAHAR POLY FILMS,9797085599,411.95,3.20681448,6.6951567,203200,83708240,396.6081594,392.0973492,355.8375258,258.5633045,3034307000,Process Industries,881286000,4.99336,,28-Feb-22,,,,,,,,,,,,,,,,,,
DBREALTY,DB REALTY LTD,22136548416,94.95,3.20652174,-7.32064422,901400,85587930,99.65095238,98.75752018,83.40004276,49.9770927,468336000,Finance,-653155000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
SANGHIIND,SANGHI INDUSTRIES,11483250000,47.2,3.16939891,-5.12562814,367229,17333208.8,48.92426211,51.92785072,55.87348781,57.25943699,9392300000,Non-Energy Minerals,2425180000,9.96724,,28-Feb-22,,,,,,,,,,,,,,,,,,
GSFC,GUJARAT STATE FER,48474793235,125.45,3.16611842,1.95042666,1070751,134325713,124.3775718,125.7264377,125.4576194,116.3275999,54864750000,Process Industries,10470200000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
LSIL,LLOYDS STEELS INDU,11458404144,13.05,3.16205534,-9.375,4549668,59373167.4,14.48145304,15.99384357,16.57780883,10.24283225,699282000,Non-Energy Minerals,-77164000,,,28-Feb-22,,,,,,,,,,,,,,,,,,
SHREDIGCEM,SHREE DIGVIJAY CEMENT,9134810638,65.3,3.15955766,2.35109718,233828,15268968.4,64.70064741,67.18263459,71.17239111,73.96437299,5028225000,Non-Energy Minerals,1347583000,7.42692,,28-Feb-22,,,,,,,,,,,,,,,,,,
MSPL,MSP STEEL & POWER,4343627323,11.6,3.11111111,-4.1322314,1339743,15541018.8,11.76434382,12.34567832,12.52495139,10.96220419,17231344000,Non-Energy Minerals,1513680000,9.25817,,28-Feb-22,,,,,,,,,,,,,,,,,,
TCI,TRANSPORT CORP OF,46475936085,619.95,3.10161317,5.50544588,44681,27699985.95,616.167081,645.1991044,678.4447949,564.1663729,28023886000,Transportation,3780700000,8.34253,,28-Feb-22,,,,,,,,,,,,,,,,,,
ARSHIYA,ARSHIYA LTD,9323908380,36.7,3.08988764,-2.52324037,512442,18806621.4,37.29670948,38.0225594,37.10177404,32.44857784,2280841000,Commercial Services,813859000,29.1454,,28-Feb-22,,,,,,,,,,,,,,,,,,
TINPLATE,TINPLATE CO INDIA,33200574483,326.75,3.05945434,-3.88292396,605461,197834381.8,333.8183214,342.1094137,333.0836928,280.3217891,22639056000,Non-Energy Minerals,3473703000,8.67244,27003700000,28-Feb-22,,,,,,,,,,,,,,,,,,
HATHWAY,HATHWAY CABLE & DA,31861880859,18.6,3.04709141,-2.10526316,4571610,85031946,18.94985206,19.85188382,20.91673634,23.32809238,17317700000,Consumer Services,4145500000,6.38489,,28-Feb-22,,,,,,,,,,,,,,,,,,
THERMAX,THERMAX,2.10E+11,1812.65,3.04124151,0.69438658,40801,73957932.65,1798.194374,1845.412721,1845.71391,1594.799376,47373900000,Producer Manufacturing,4258100000,41.822,,28-Feb-22,,,,,,,,,,,,,,,,,,
GTLINFRA,GTL INFRASTRUCTURE,20702256343,1.7,3.03030303,-2.85714286,120327048,204555981.6,1.73544831,1.83112847,1.90488558,1.73955833,14096800000,Communications,4012900000,13.5297,,28-Feb-22,,,,,,,,,,,,,,,,,,
AGARIND,AGARWAL INDUSTRIAL,6199545138,483.55,3.02546074,-5.52896356,68578,33160891.9,499.8469111,512.3138711,491.3891662,375.9846134,9039023000,Distribution Services,1044073000,3.72465,,28-Feb-22,,,,,,,,,,,,,,,,,,
JSLHISAR,JINDAL STAINLESS (,80866615814,353.2,3.01881289,2.42134261,394327,139276296.4,352.4079437,365.6735682,365.0670996,297.9275034,93750700000,Non-Energy Minerals,19540100000,4.0074,,28-Feb-22,,,,,,,,,,,,,,,,,,
MMTC,MMTC,67274997711,46.25,3.00668151,-0.64446831,3177602,146964092.5,46.71170067,48.17547494,47.9442364,44.82723081,3.00E+11,Distribution Services,,,,28-Feb-22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTBELL,ORIENT BELL LTD,7035300612,579.4,18.52306433,17.0741564,476169,275892318.6,511.245823,487.8162715,439.2318382,354.1598697,5004917000,Producer Manufacturing,486600000,8.70784,,25-Feb-22,,,,,,,,,,,,,,,,,,
TEXRAIL,TEXMACO RAIL & ENG,9495162155,34.95,18.47457627,-5.66801619,4114401,143798315,35.46600465,37.29837242,36.94296978,34.09858272,16888479000,Producer Manufacturing,1604899000,10.4784,,25-Feb-22,,,,,,,,,,,,,,,,,,
ADVENZYMES,ADVANCED ENZYME TE,29302957453,309.8,18.06402439,4.274655,1965565,608932037,293.4401267,302.593239,318.222522,347.4212104,5004460000,Process Industries,2159990000,15.5425,,25-Feb-22,,,,,,,,,,,,,,,,,,
NAHARPOLY,NAHAR POLY FILMS,8506216034,399.15,16.01511408,-2.01301092,209503,83623122.45,393.1988615,390.0075964,353.5472208,257.0217297,3034307000,Process Industries,881286000,4.99336,,25-Feb-22,,,,,,,,,,,,,,,,,,
BIRLACABLE,BIRLA CABLE LTD,3535499954,136.15,15.62632696,7.88431062,1813345,246886921.8,123.9177599,118.9039274,108.7941312,92.43386927,3256412000,Producer Manufacturing,378324000,10.7048,,25-Feb-22,,,,,,,,,,,,,,,,,,
